Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB456,Trifolium stellatum,Canary Islands,Fabaceae,RB456_Trifolium stellatum_Canary Islands_Fabaceae,
RB801,Trifolium stellatum,Portugal,Fabaceae,RB801_Trifolium stellatum_Portugal_Fabaceae,
RB184,Trifolium lappaceum,France,Fabaceae,RB184_Trifolium lappaceum_France_Fabaceae,
RB219,Trifolium ligusticum,Spain,Fabaceae,RB219_Trifolium ligusticum_Spain_Fabaceae,
RB459,Trifolium lappaceum,Canary Islands,Fabaceae,RB459_Trifolium lappaceum_Canary Islands_Fabaceae,
RB834,Trifolium lappaceum,Portugal,Fabaceae,RB834_Trifolium lappaceum_Portugal_Fabaceae,
RB832,Trifolium squarrosum,Portugal,Fabaceae,RB832_Trifolium squarrosum_Portugal_Fabaceae,
RB802,Trifolium squamosum,Spain,Fabaceae,RB802_Trifolium squamosum_Spain_Fabaceae,
RB180,Trifolium squarrosum,France,Fabaceae,RB180_Trifolium squarrosum_France_Fabaceae,
RB457,Trifolium squarrosum,Canary Islands,Fabaceae,RB457_Trifolium squarrosum_Canary Islands_Fabaceae,
RB187,Trifolium bocconei,France,Fabaceae,RB187_Trifolium bocconei_France_Fabaceae,
RB217,Trifolium squamosum,Morocco,Fabaceae,RB217_Trifolium squamosum_Morocco_Fabaceae,
RB149,Trifolium angustifolium,Morocco,Fabaceae,RB149_Trifolium angustifolium_Morocco_Fabaceae,
RB445,Trifolium angustifolium,Canary Islands,Fabaceae,RB445_Trifolium angustifolium_Canary Islands_Fabaceae,
RB809,Trifolium angustifolium,Spain,Fabaceae,RB809_Trifolium angustifolium_Spain_Fabaceae,
RB808,Trifolium cherleri,Portugal,Fabaceae,RB808_Trifolium cherleri_Portugal_Fabaceae,*
RB454,Trifolium subterraneum,Canary Islands,Fabaceae,RB454_Trifolium subterraneum_Canary Islands_Fabaceae,
RB886,Trifolium subterraneum,Spain,Fabaceae,RB886_Trifolium subterraneum_Spain_Fabaceae,
RB200,Trifolium scabrum,Tunisia,Fabaceae,RB200_Trifolium scabrum_Tunisia_Fabaceae,
RB442,Trifolium cherleri,Canary Islands,Fabaceae,RB442_Trifolium cherleri_Canary Islands_Fabaceae,
P06834235,Trifolium glomeratum,Portugal,Fabaceae,P06834235_Trifolium glomeratum_Portugal_Fabaceae,
RB439,Trifolium glomeratum,Canary Islands,Fabaceae,RB439_Trifolium glomeratum_Canary Islands_Fabaceae,
P02603316,Trifolium glomeratum,Morocco,Fabaceae,P02603316_Trifolium glomeratum_Morocco_Fabaceae,
RB885,Trifolium suffocatum,Spain,Fabaceae,RB885_Trifolium suffocatum_Spain_Fabaceae,
RB218,Trifolium suffocatum,Portugal,Fabaceae,RB218_Trifolium suffocatum_Portugal_Fabaceae,
RB453,Trifolium suffocatum,Canary Islands,Fabaceae,RB453_Trifolium suffocatum_Canary Islands_Fabaceae,
RB569,Trifolium resupinatum,Canary Islands,Fabaceae,RB569_Trifolium resupinatum_Canary Islands_Fabaceae,
RB182,Trifolium resupinatum,Portugal,Fabaceae,RB182_Trifolium resupinatum_Portugal_Fabaceae,
RB805,Trifolium resupinatum,Spain,Fabaceae,RB805_Trifolium resupinatum_Spain_Fabaceae,
RB855,Trifolium tomentosum,Portugal,Fabaceae,RB855_Trifolium tomentosum_Portugal_Fabaceae,
RB198,Trifolium tomentosum,Spain,Fabaceae,RB198_Trifolium tomentosum_Spain_Fabaceae,
RB452,Trifolium tomentosum,Canary Islands,Fabaceae,RB452_Trifolium tomentosum_Canary Islands_Fabaceae,
RB209,Trifolium fragiferum,Netherlands,Fabaceae,RB209_Trifolium fragiferum_Netherlands_Fabaceae,
RB835,Trifolium fragiferum,Portugal,Fabaceae,RB835_Trifolium fragiferum_Portugal_Fabaceae,
RB181,Trifolium spumosum,Morocco,Fabaceae,RB181_Trifolium spumosum_Morocco_Fabaceae,
RB803,Trifolium spumosum,Algeria,Fabaceae,RB803_Trifolium spumosum_Algeria_Fabaceae,
RB186,Trifolium cherleri,Algeria,Fabaceae,RB186_Trifolium cherleri_Algeria_Fabaceae,*
RB443,Trifolium campestre,Canary Islands,Fabaceae,RB443_Trifolium campestre_Canary Islands_Fabaceae,
RB183,Trifolium micranthum,France,Fabaceae,RB183_Trifolium micranthum_France_Fabaceae,
RB807,Trifolium dubium,Austria,Fabaceae,RB807_Trifolium dubium_Austria_Fabaceae,
RB185,Trifolium campestre,Spain,Fabaceae,RB185_Trifolium campestre_Spain_Fabaceae,
RB441,Trifolium dubium,Canary Islands,Fabaceae,RB441_Trifolium dubium_Canary Islands_Fabaceae,
RB179,Trigonella anguina,Morocco,Fabaceae,RB179_Trigonella anguina_Morocco_Fabaceae,
RB871,Trigonella anguina,Morocco,Fabaceae,RB871_Trigonella anguina_Morocco_Fabaceae,
RB451,Trigonella anguina,Canary Islands,Fabaceae,RB451_Trigonella anguina_Canary Islands_Fabaceae,
RB870,Trigonella stellata,Algeria,Fabaceae,RB870_Trigonella stellata_Algeria_Fabaceae,
RB197,Trigonella stellata,Tunisia,Fabaceae,RB197_Trigonella stellata_Tunisia_Fabaceae,
RB450,Trigonella stellata,Canary Islands,Fabaceae,RB450_Trigonella stellata_Canary Islands_Fabaceae,
RB818,Melilotus segetalis,France,Fabaceae,RB818_Melilotus segetalis_France_Fabaceae,
RB138,Melilotus segetalis,Algeria,Fabaceae,RB138_Melilotus segetalis_Algeria_Fabaceae,
RB841,Lathyrus sphaericus,Portugal,Fabaceae,RB841_Lathyrus sphaericus_Portugal_Fabaceae,
ODN113,Lathyrus sphaericus,Canary Islands,Fabaceae,ODN113_Lathyrus sphaericus_Canary Islands_Fabaceae,
RB142,Lathyrus sphaericus,Spain,Fabaceae,RB142_Lathyrus sphaericus_Spain_Fabaceae,
RB172,Lathyrus angulatus,Portugal,Fabaceae,RB172_Lathyrus angulatus_Portugal_Fabaceae,
RB829,Lathyrus angulatus,Spain,Fabaceae,RB829_Lathyrus angulatus_Spain_Fabaceae,
RB461,Lathyrus angulatus,Canary Islands,Fabaceae,RB461_Lathyrus angulatus_Canary Islands_Fabaceae,
RB136,Ononis mitissima,Morocco,Fabaceae,RB136_Ononis mitissima_Morocco_Fabaceae,
RB431,Ononis mitissima,Canary Islands,Fabaceae,RB431_Ononis mitissima_Canary Islands_Fabaceae,
RB433,Ononis diffusa,Canary Islands,Fabaceae,RB433_Ononis diffusa_Canary Islands_Fabaceae,
RB815,Ononis mitissima,Spain,Fabaceae,RB815_Ononis mitissima_Spain_Fabaceae,*
RB837,Ononis serrata,Portugal,Fabaceae,RB837_Ononis serrata_Portugal_Fabaceae,*
RB155,Ononis diffusa,Morocco,Fabaceae,RB155_Ononis diffusa_Morocco_Fabaceae,
RB167,Ononis tournefortii,Morocco,Fabaceae,RB167_Ononis tournefortii_Morocco_Fabaceae,
RB428,Ononis tournefortii,Canary Islands,Fabaceae,RB428_Ononis tournefortii_Canary Islands_Fabaceae,
ODN102,Ononis serrata,Canary Islands,Fabaceae,ODN102_Ononis serrata_Canary Islands_Fabaceae,
RB826,Ononis tournefortii,Spain,Fabaceae,RB826_Ononis tournefortii_Spain_Fabaceae,
RB133,Ononis variegata,Portugal,Fabaceae,RB133_Ononis variegata_Portugal_Fabaceae,
RB168,Ononis laxiflora,Morocco,Fabaceae,RB168_Ononis laxiflora_Morocco_Fabaceae,*
RB153,Ononis pendula,Morocco,Fabaceae,RB153_Ononis pendula_Morocco_Fabaceae,
RB434,Ononis christii,Canary Islands,Fabaceae,RB434_Ononis christii_Canary Islands_Fabaceae,
RB843,Ononis pendula,Morocco,Fabaceae,RB843_Ononis pendula_Morocco_Fabaceae,
RB156,Ononis dentata,Spain,Fabaceae,RB156_Ononis dentata_Spain_Fabaceae,
ODN105,Ononis laxiflora,Canary Islands,Fabaceae,ODN105_Ononis laxiflora_Canary Islands_Fabaceae,
ODN106,Ononis dentata,Canary Islands,Fabaceae,ODN106_Ononis dentata_Canary Islands_Fabaceae,
RB816,Ononis dentata,Portugal,Fabaceae,RB816_Ononis dentata_Portugal_Fabaceae,
RB135,Ononis reclinata,Spain,Fabaceae,RB135_Ononis reclinata_Spain_Fabaceae,
RB838,Ononis reclinata,Portugal,Fabaceae,RB838_Ononis reclinata_Portugal_Fabaceae,
RB429,Ononis reclinata,Canary Islands,Fabaceae,RB429_Ononis reclinata_Canary Islands_Fabaceae,
RB134,Ononis serrata,Spain,Fabaceae,RB134_Ononis serrata_Spain_Fabaceae,
RB813,Ononis variegata,Spain,Fabaceae,RB813_Ononis variegata_Spain_Fabaceae,
RB137,Ononis angustissima,Algeria,Fabaceae,RB137_Ononis angustissima_Algeria_Fabaceae,
RB817,Ononis angustissima,Tunisia,Fabaceae,RB817_Ononis angustissima_Tunisia_Fabaceae,
RB814,Ononis natrix,Morocco,Fabaceae,RB814_Ononis natrix_Morocco_Fabaceae,
