species,growth_form,source,,
Raphanus raphanistrum,Annual Herbaceous,"F. Lens, unpublished data; 110",,
Sisymbrium erysimoides,Annual Herbaceous,"F. Lens, unpublished data; 111",,
Sisymbrium irio,Annual Herbaceous,"F. Lens, unpublished data; 112",,
Succowia balearica,Annual Herbaceous,"F. Lens, unpublished data; 113",,
Thlaspi arvense,Annual Herbaceous,"F. Lens, unpublished data; 114",,
Campanula dichotoma,Annual Herbaceous,"F. Lens, unpublished data; 115",,
Campanula erinus,Annual Herbaceous,"F. Lens, unpublished data; 115",,
Canarina canariensis,Perennial Herbaceous,"F. Lens, unpublished data; 116",,
Legousia falcata,Annual Herbaceous,"F. Lens, unpublished data; 117",,
Legousia hybrida,Annual Herbaceous,"F. Lens, unpublished data; 117",,
Wahlenbergia lobelioides,Annual Herbaceous,"F. Lens, unpublished data; 118",,
Pterocephalus dumetorum,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Pterocephalus lasiospermus,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Pterocephalus porphyranthus,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Pterocephalus virens,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Valeriana calcitrapae,Annual Herbaceous,"F. Lens, unpublished data; 119",,
Arenaria serpyllifolia,Annual Herbaceous,"F. Lens, unpublished data; 120",,
Bufonia paniculata,Perennial Herbaceous,"F. Lens, unpublished data; 121",,
Dicheranthus plocamoides,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Eudianthe coeli-rosa,Annual Herbaceous,"F. Lens, unpublished data; 122",,
Gymnocarpos decander,Derived Woodiness,"F. Lens, unpublished data",,
Gymnocarpos sclerocephalus,Derived Woodiness,"F. Lens, unpublished data",,
Gypsophila vaccaria,Annual Herbaceous,"F. Lens, unpublished data; 123",,
Illecebrum verticillatum,Annual Herbaceous,"F. Lens, unpublished data; 124",,
Loeflingia hispanica,Annual Herbaceous,"F. Lens, unpublished data; 125",,
Moehringia pentandra,Annual Herbaceous,"F. Lens, unpublished data; 126",,
Polycarpon alsinifolium,Annual Herbaceous,"F. Lens, unpublished data; 48",,
Polycarpon tetraphyllum,Annual Herbaceous,"F. Lens, unpublished data; 127",,
Pteranthus dichotomus,Annual Herbaceous,"F. Lens, unpublished data; 128",,
Rhodalsine geniculata,Perennial Herbaceous,"F. Lens, unpublished data; 129",,
Scleranthus annuus,Annual Herbaceous,"F. Lens, unpublished data; 130",,
Silene apetala,Annual Herbaceous,"F. Lens, unpublished data; 131",,
Silene behen,Annual Herbaceous,"F. Lens, unpublished data; 132",,
